Participant,participant,Time,Neutral_Low_CS,Happy_Low_CS,Neutral_Low_ZM,Happy_Low_ZM,Neutral_High_CS,Happy_High_CS,Neutral_High_ZM,Happy_High_ZM
P10,P10,0.31689,0.7438332695,0.8180391098,0.7398389639,0.7751163331,0.9094429423,0.7970432087,0.8102124964,0.8055382087
P10,P10,0.31738,0.7435747451,0.8255008144,0.8000971973,0.7676370326,0.8342183868,0.8015510292,0.7809266023,0.7483435112
P10,P10,0.31787,0.7161045404,0.8135237204,0.7485744602,0.7320834869,0.7653227474,0.8145017412,0.7216903109,0.8188440393
P10,P10,0.31836,0.6745523785,0.7903045605,0.6142898439,0.7145561122,0.69907909,0.8827728358,0.7240027575,1.011133202
P10,P10,0.31885,0.6667810013,0.8118277941,0.7129383204,0.7548954799,0.6739388295,0.8602855834,0.8634582538,0.9795707522
P10,P10,0.31934,0.6322472471,0.814701531,0.844469367,0.7114796973,0.7147921246,0.8216015895,0.9208553331,0.8898451183
P10,P10,0.31982,0.6161787803,0.8091537821,0.8318107082,0.6597081195,0.7711962461,0.8470963592,0.9023665649,0.9473974407
P10,P10,0.32031,0.5943202069,0.8171701536,0.6801547414,0.6736940909,0.7989620088,0.8156225137,0.7858410156,0.9905254332
P10,P10,0.3208,0.6784586376,0.8222995352,0.6247914036,0.7392288902,0.7613087187,0.8382611863,0.768330649,0.9525181174
P10,P10,0.32129,0.7482958433,0.7882493978,0.7085133729,0.8424513509,0.7090487699,0.8535414986,0.7816203623,0.9491985949
P10,P10,0.32178,0.7756291205,0.7402556215,0.7283651503,0.8451636871,0.7566821756,0.8386365858,0.6899686835,0.8457644544
P10,P10,0.32227,0.8125676002,0.7539307101,0.7388087836,0.7781681394,0.8490152735,0.8005630625,0.7053912736,0.8469685032
P10,P10,0.32275,0.8400514178,0.79896425,0.7439634471,0.6482947567,0.9134971154,0.7772588867,0.811843266,0.9152948505
P10,P10,0.32324,0.9014718858,0.8231797271,0.7307367968,0.6552902124,0.9014487236,0.7502442105,0.9230726655,0.8553382702
P10,P10,0.32373,0.9019053087,0.8271737437,0.73509262,0.7394221749,0.8473930447,0.7345066651,0.8937580198,0.9332868485
P10,P10,0.32422,0.8580403349,0.8329618361,0.7731688903,0.8117828042,0.8763120699,0.7358147323,0.781845349,0.9164475222
P10,P10,0.32471,0.886951534,0.8250603442,0.8205001045,0.7804227038,0.8845492829,0.7724929239,0.69868643,0.8864751904
P10,P10,0.3252,0.902580465,0.8347933581,0.8442974919,0.7892623758,0.9202796617,0.8260117601,0.8731526715,0.875099301
P10,P10,0.32568,0.8615618925,0.8108136508,0.8450956736,0.8243327285,0.9334967872,0.8255828308,0.9847163721,0.8954034718
P10,P10,0.32617,0.8744167341,0.7717373994,0.8182595796,0.8391834073,0.920796717,0.7823328353,0.9607695587,0.7838237823
P10,P10,0.32666,0.9173203301,0.7283187097,0.7584609968,0.8129798394,0.9294136172,0.820518587,0.8972574274,0.6903252809
P10,P10,0.32715,0.9422084608,0.6851342996,0.7092061216,0.7315612617,0.960584028,0.856625087,0.8935798012,0.6794132367
P10,P10,0.32764,0.8651114372,0.7048793247,0.700759203,0.7234919863,0.9312833822,0.891950239,0.8501310313,0.6734125135
P10,P10,0.32812,0.8078941491,0.7181545612,0.6735721182,0.7188738856,0.8673890445,0.9205283971,0.8913355911,0.7351334634
P10,P10,0.32861,0.8228139696,0.7238045996,0.6171915153,0.6755020339,0.8238698912,0.9289564796,0.8164069054,0.8991567704
P10,P10,0.3291,0.8927314627,0.7455797477,0.6438016101,0.6701484305,0.810080851,0.8727261046,0.8628143289,0.9891205607
P10,P10,0.32959,0.9035579412,0.7969449484,0.6520349192,0.69631561,0.8161509918,0.7846724387,0.9928534074,0.9819565258
P10,P10,0.33008,0.855268169,0.7937961662,0.723910597,0.7528395359,0.837133645,0.7566806515,1.020641614,0.870478924
P10,P10,0.33057,0.8334175654,0.7346596015,0.6595800484,0.8198230449,0.7965687853,0.7972834345,1.035340251,0.8556071494
P10,P10,0.33105,0.8244673755,0.6861794927,0.5664336385,0.7612206581,0.809542525,0.8322830478,0.8976218204,0.85345377
P10,P10,0.33154,0.841185615,0.7023873343,0.6410705159,0.7221390917,0.7977339361,0.8106758205,0.9822317236,0.8508137556
P10,P10,0.33203,0.8597958596,0.6938814406,0.7218844624,0.6831689799,0.8081579884,0.7736075676,1.04059695,0.9448009715
P10,P10,0.33252,0.9432311608,0.6633884462,0.7377346492,0.6769706556,0.830460209,0.7578354309,0.9707428655,0.9692799016
P10,P10,0.33301,0.9916350812,0.6760030721,0.7342135988,0.7161401998,0.8519989143,0.7866649111,0.8524683872,0.7765081889
P10,P10,0.3335,1.001540981,0.6995976668,0.7843030949,0.7605755951,0.8605919609,0.8216718779,0.742680928,0.8253182135
P10,P10,0.33398,0.9804738594,0.6986168526,0.6707280503,0.779120913,0.8101140755,0.8072737959,0.7278803739,0.9933658882
P10,P10,0.33447,0.9170567576,0.689789841,0.6307905853,0.741648985,0.8426578779,0.8289432239,0.8860464653,1.04209845
P10,P10,0.33496,0.8865712125,0.7133462757,0.6334592453,0.7518508104,0.9899113851,0.8625989401,0.9626984532,0.9558187733
P10,P10,0.33545,0.7941708834,0.7287487275,0.7077286605,0.6700548358,1.016849861,0.8681154911,0.9895038762,0.7953552568
P10,P10,0.33594,0.7150487285,0.7577105411,0.7028328885,0.6475628488,0.9667213677,0.8403150979,1.00270239,0.7209289519
P10,P10,0.33643,0.7433452179,0.8562275682,0.6716844109,0.624330505,0.9742356576,0.8095262824,1.022575503,0.7985910029
P10,P10,0.33691,0.7680950702,0.9480509651,0.6492562133,0.6882260014,0.9477240529,0.8043771139,0.9865261527,0.7637028429
P10,P10,0.3374,0.7948557107,0.985704066,0.7264853572,0.7501195381,0.897015952,0.7895701317,0.9676367656,0.6555521945
P10,P10,0.33789,0.8333465265,0.9251290172,0.720132475,0.7532683011,0.8792131886,0.7848022673,0.9481532532,0.6430380257
P10,P10,0.33838,0.8252032474,0.8448043852,0.665142565,0.7298011644,0.8906938361,0.8127403132,0.8863045801,0.7769819277
P10,P10,0.33887,0.7383295746,0.7843728397,0.769973122,0.6956959949,0.8997824498,0.8477919793,0.8434719109,0.8308437298
P10,P10,0.33936,0.6910993895,0.7686933376,0.7830935817,0.7284612435,0.904727353,0.8399377559,0.896679419,0.8454704071
P10,P10,0.33984,0.6801929839,0.7249706333,0.6748599476,0.7529284832,0.8639691879,0.8757865324,0.9346189904,0.7966213008
P10,P10,0.34033,0.7021616939,0.77327484,0.6338342427,0.747144056,0.8442738362,0.9272452979,0.8198703513,0.7978706787
P10,P10,0.34082,0.7717942225,0.8654712776,0.7091650782,0.7488474079,0.8578370129,0.9077818346,0.8390967983,0.8134180984
P10,P10,0.34131,0.816745166,0.9210640482,0.7928051197,0.7461979913,0.8718807254,0.9298231034,0.8996735194,0.7784307446
P10,P10,0.3418,0.8255867668,0.9502882838,0.7411973214,0.713649236,0.8303707213,0.9500055423,0.9811992273,0.7779195465
P10,P10,0.34229,0.8866521266,0.9776194689,0.6544706175,0.7045839738,0.8110699447,0.9258073368,1.010115495,0.7995211219
P10,P10,0.34277,0.9791684185,0.9864482284,0.646797998,0.7321467809,0.819749343,0.8936070709,0.8728237723,0.7982862391
P10,P10,0.34326,1.034901826,0.9875427733,0.6699479156,0.7386497761,0.7962659354,0.8553476692,0.8740455119,0.8110392632
P10,P10,0.34375,1.006133863,0.985269279,0.752387586,0.7340669237,0.7743217183,0.8660510929,0.8416917598,0.9177698602
P10,P10,0.34424,0.9836294714,0.9285382756,0.8117587495,0.7402178765,0.8472463733,0.8478126779,0.7626248273,0.9402884287
P10,P10,0.34473,0.9895863049,0.8725858717,0.8330758817,0.7104360425,0.8761901466,0.8247756355,0.7423316966,0.9108970549
P10,P10,0.34521,0.9828190743,0.8294777504,0.7654987234,0.7673887999,0.8686568836,0.7855510987,0.8001539973,0.875184751
P10,P10,0.3457,0.9125845788,0.7797474192,0.7367107569,0.7900405954,0.8430224983,0.7921974736,0.8605137164,0.8247038811
P10,P10,0.34619,0.8857484265,0.7565252507,0.7145634194,0.7599204329,0.806793986,0.7991324965,0.8442538419,0.8374830745
P10,P10,0.34668,0.8428617418,0.7190565947,0.6764334819,0.7177465429,0.7725561256,0.8087266971,0.8447746096,0.8784107827
P10,P10,0.34717,0.7779774581,0.7657015282,0.6986834824,0.6985355232,0.8036101362,0.8187844859,0.8941945643,0.9438712353
P10,P10,0.34766,0.7708662882,0.813653233,0.7303599255,0.6461944422,0.8137144112,0.7922628432,0.7735190464,0.9255838165
P10,P10,0.34814,0.7931692202,0.8973626265,0.7759503884,0.595838975,0.7952561543,0.843223533,0.741935821,0.8233254577
P10,P10,0.34863,0.7635963241,0.9601322358,0.7880100091,0.6152559246,0.7583933946,0.9108946099,0.7996380318,0.9694578895
P10,P10,0.34912,0.726148275,0.9757345371,0.7576467684,0.6688043348,0.7422412944,0.899449001,0.8541918826,1.104963876
P10,P10,0.34961,0.7747870938,0.9466476136,0.7435713012,0.70177651,0.7871645489,0.9322239269,0.8548103764,1.163413305
P10,P10,0.3501,0.8521874772,0.9134978057,0.7049304371,0.6891686721,0.9326128005,1.06294514,0.8803272291,1.092398447
P10,P10,0.35059,0.9106663218,0.8742848052,0.7350285714,0.7397088242,1.032474744,1.114321051,0.8774216897,0.8474466453
P10,P10,0.35107,0.890434607,0.8807452595,0.7612935242,0.8031770972,1.045662189,1.125155712,0.9143987336,1.029477237
P10,P10,0.35156,0.8559666597,0.8985105571,0.7677589093,0.8047730582,0.9849642143,1.041571576,0.7642724184,1.084677133
P10,P10,0.35205,0.8105559346,0.8642596429,0.823360886,0.7524088158,0.9669646171,0.9133051273,0.8047073057,0.8734859091
P10,P10,0.35254,0.7512088711,0.8022898639,0.8398028998,0.772455795,0.9549788326,0.8901328513,0.8990501871,0.8044625192
P10,P10,0.35303,0.7412942045,0.7749405988,0.82138802,0.8269897869,0.8914973082,0.9193494107,0.8431751377,0.8156197902
P10,P10,0.35352,0.7763857677,0.7712917731,0.6879737579,0.8354414477,0.7714689783,0.8651855677,0.8262881599,0.807450584
P10,P10,0.354,0.8121970363,0.7560290573,0.736895146,0.7736665476,0.7809162958,0.8188361734,0.9068652586,0.8276765608
P10,P10,0.35449,0.8467566546,0.7738369586,0.7716151812,0.8568040167,0.763889496,0.8569853248,0.8881994232,0.78952369
P10,P10,0.35498,0.853043605,0.8008126643,0.7734995311,0.8363041358,0.7117229286,0.883433446,0.8357947195,0.7603705783
